,맥주정보,검색이름,맥주이름
81,"Benzai(20,022)
🇳🇱Oirschot, THE NETHERLANDS, Netherlands
2.6August 27, 2016
Bottle @ home shared by Thompson. Clear pale golden color, small white head. Smell and taste lightly malts, lightly rice, lightly sweetish, just the slightest hint of malt bitter in the…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
11",Cass Fresh,Cass Fresh
82,"mintzmeet(457)
🇺🇸Seattle, United States
2.9August 21, 2016
This is good! Much better than expected. Nice flavor, but also refreshing. Low alcohol content. Great with Korean bbq.
Aroma
3
Appearance
2
Flavor
6
Mouthfeel
3
Overall
15",Cass Fresh,Cass Fresh
83,"kidmartinek(5,010)
🇺🇸austin, United States
0.9July 19, 2016
pours golden with an instantly vanishing white head. Completely gone, instantly. Smells kind of like an old sock in a new leather shoe. Tastes like sweet sugar and malt. Pass…
Show more
Aroma
1
Appearance
1
Flavor
2
Mouthfeel
2
Overall
3",Cass Fresh,Cass Fresh
84,"explosivedog(6,753)
🇺🇸New York, United States
1.8July 18, 2016
355ml can. Pretty much your standard watery mass produced lager. Unpleasant aroma and a taste that mostly gets washed away.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
5",Cass Fresh,Cass Fresh
85,"Ktwse(6,833)
🇺🇸Chicago, United States
1.2July 11, 2016
Pours clear pale yellow with low white head. Aroma is slightly floral and has hints of citrus. Taste is mild sweet and slightly nondescript malty in the finish. Light sticky body…
Show more
Aroma
2
Appearance
1
Flavor
2
Mouthfeel
1
Overall
6",Cass Fresh,Cass Fresh
86,"DrNosha(6,192)
🇩🇪Württemberg, Germany
1.2July 11, 2016
330ml Flasche. Strohgelbes Bier, fast kein Schaum. Getreideduft mit Industrie Charakter. Wässeriger Geschmack. Etwas Süsse und Getreide.
Aroma
2
Appearance
1
Flavor
3
Mouthfeel
1
Overall
5",Cass Fresh,Cass Fresh
87,"miyauchi38(1,117)
🇺🇸chicago, United States
1.9July 5, 2016
水だけと、冷えてたからか、めちゃくちゃ美味しい
Aroma
1
Appearance
1
Flavor
3
Mouthfeel
3
Overall
11",Cass Fresh,Cass Fresh
88,"StevieT(2,007)
🇦🇺Australia
1.7July 1, 2016
From a bottle. Not anywhere near as bad as I’d expected but that’s probably due to really low expectations. Had worse.
Aroma
5
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Cass Fresh,Cass Fresh
89,"bkurtz(1,329)
🇱🇹Lithuania
1.7June 30, 2016
This is a typical macro brew. It is a bit too sweet, but is it works with Korean BBQ. Nothing really to say about it.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",Cass Fresh,Cass Fresh
90,"Defreni(4,487)
🇩🇰Husum, Denmark
2.2June 27, 2016
Fad. Mærkeligt at kalde noget bier når der rent faktisk kun er en hane, men oh Well. Dødsyg makrolager. Virkelig ikke noget at komme efter. Men en eating er en rating.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
8",Cass Fresh,Cass Fresh
91,"SJnoodles(8)
0.5June 18, 2016
Aroma is that if cheap watered down piss. From a can smelled metallic and from a bottle smelled dank and poor. Color is similiar to Bud, but less head. The taste was like an…
Show more
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1",Cass Fresh,Cass Fresh
92,"Brigadier(4,590)
🇺🇸Madison, United States
1.4June 1, 2016
12 ounce can…
Show more
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
2
Overall
6",Cass Fresh,Cass Fresh
